ReportTitle,Textbox2
REPORTE TRAMITE - SOLICITUD DE CALIDAD MIGRATORIA,Fecha Consulta: 09/12/2024 19:06

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
161,LIMA,2018,12,LM180626704,"PAGOS, FECHA Y NRO RD. - F",03/12/2018 8:50,12/12/2018 13:18,,,,APROBADO
162,LIMA,2018,12,LM180626692,"PAGOS, FECHA Y NRO RD. - F",03/12/2018 8:45,12/12/2018 13:18,,,,APROBADO
163,LIMA,2018,12,LM180626668,"PAGOS, FECHA Y NRO RD. - F",03/12/2018 8:38,12/12/2018 13:17,,,,APROBADO
164,LIMA,2018,12,LM180626665,"PAGOS, FECHA Y NRO RD. - F",03/12/2018 8:37,12/12/2018 13:16,,,,APROBADO
165,LIMA,2018,12,LM180626602,"PAGOS, FECHA Y NRO RD. - F",03/12/2018 8:18,12/12/2018 13:16,,,,APROBADO
166,LIMA,2018,12,LM180626595,"PAGOS, FECHA Y NRO RD. - F",03/12/2018 8:16,12/12/2018 13:14,,,,APROBADO
167,LIMA,2018,11,LM180623903,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 19:29,11/12/2018 13:50,,,,APROBADO
168,LIMA,2018,11,LM180623878,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 19:21,11/12/2018 13:49,,,,APROBADO
169,LIMA,2018,11,LM180623870,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 19:18,11/12/2018 13:48,,,,APROBADO
170,LIMA,2018,11,LM180623859,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 19:15,11/12/2018 14:04,,,,APROBADO
171,LIMA,2018,11,LM180623841,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 19:10,11/12/2018 14:03,,,,APROBADO
172,LIMA,2018,11,LM180623829,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 19:07,11/12/2018 14:03,,,,APROBADO
173,LIMA,2018,11,LM180623822,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 19:05,11/12/2018 14:02,,,,APROBADO
174,LIMA,2018,11,LM180623816,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 19:04,11/12/2018 14:02,,,,APROBADO
175,LIMA,2018,11,LM180623802,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 19:01,11/12/2018 14:01,,,,APROBADO
176,LIMA,2018,11,LM180623798,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 18:59,11/12/2018 14:16,,,,APROBADO
177,LIMA,2018,11,LM180623784,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 18:54,11/12/2018 14:15,,,,APROBADO
178,LIMA,2018,11,LM180623779,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 18:53,11/12/2018 14:15,,,,APROBADO
179,LIMA,2018,11,LM180623773,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 18:51,11/12/2018 14:14,,,,APROBADO
180,LIMA,2018,11,LM180623770,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 18:48,11/12/2018 14:13,,,,APROBADO
181,LIMA,2018,11,LM180623750,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 18:46,11/12/2018 14:13,,,,APROBADO
182,LIMA,2018,11,LM180623746,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 18:43,11/12/2018 14:10,,,,APROBADO
183,LIMA,2018,11,LM180623558,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 17:48,02/05/2019 18:07,,,,APROBADO
184,LIMA,2018,11,LM180621794,"PAGOS, FECHA Y NRO RD. - F",30/11/2018 10:28,11/12/2018 13:42,,,,APROBADO
