ReportTitle,Textbox2
REPORTE TRAMITE - CAMBIO DE CALIDAD MIGRATORIA,Fecha Consulta: 04/12/2024 17:27

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
160,MIRAFLORES,2019,6,MR190111705,EVALUACIÓN - F,14/06/2019 10:26,02/10/2019 9:58,,,,DESISTIDO
161,MIRAFLORES,2019,6,MR190110715,EVALUACIÓN - F,13/06/2019 9:49,11/10/2019 10:59,,,,DESISTIDO
162,MIRAFLORES,2019,6,MR190108318,EVALUACIÓN - F,10/06/2019 15:56,11/09/2019 10:44,,,,DESISTIDO
163,MIRAFLORES,2019,6,MR190105255,EVALUACIÓN - F,06/06/2019 9:08,27/11/2019 12:58,,,,DESISTIDO
164,MIRAFLORES,2019,6,MR190101553,EVALUACIÓN - F,01/06/2019 9:16,13/06/2019 14:57,,,,DESISTIDO
165,MIRAFLORES,2019,6,MR190101542,EVALUACIÓN - F,01/06/2019 9:02,13/06/2019 14:58,,,,DESISTIDO
166,MIRAFLORES,2019,5,MR190099434,EVALUACIÓN - F,29/05/2019 17:59,25/09/2019 17:03,,,,DESISTIDO
167,MIRAFLORES,2019,5,MR190098886,EVALUACIÓN - F,29/05/2019 10:29,02/10/2019 12:00,,,,DESISTIDO
168,MIRAFLORES,2019,5,MR190098654,EVALUACIÓN - F,28/05/2019 19:22,18/12/2019 12:55,,,,DESISTIDO
169,MIRAFLORES,2019,5,MR190097198,EVALUACIÓN - F,27/05/2019 13:11,26/06/2019 12:17,,,,DESISTIDO
170,MIRAFLORES,2019,5,MR190096582,EVALUACIÓN - F,25/05/2019 16:51,15/10/2019 15:21,,,,DESISTIDO
171,MIRAFLORES,2019,5,MR190096534,EVALUACIÓN - F,25/05/2019 16:12,25/06/2019 9:29,,,,DESISTIDO
172,MIRAFLORES,2019,5,MR190095133,EVALUACIÓN - F,24/05/2019 9:50,02/10/2019 17:11,,,,DESISTIDO
173,MIRAFLORES,2019,5,MR190093639,EVALUACIÓN - F,22/05/2019 15:03,08/08/2019 12:20,,,,DESISTIDO
174,MIRAFLORES,2019,5,MR190093465,EVALUACIÓN - F,22/05/2019 12:35,18/08/2019 16:39,,,,DESISTIDO
175,MIRAFLORES,2019,5,MR190090381,EVALUACIÓN - F,17/05/2019 19:45,20/08/2019 12:36,,,,DESISTIDO
176,MIRAFLORES,2019,5,MR190087656,EVALUACIÓN - F,15/05/2019 10:36,11/07/2019 17:21,,,,DESISTIDO
177,MIRAFLORES,2019,5,MR190087136,EVALUACIÓN - F,14/05/2019 14:38,11/07/2019 17:22,,,,DESISTIDO
178,MIRAFLORES,2019,5,MR190082065,EVALUACIÓN - F,07/05/2019 19:57,25/07/2019 11:45,,,,DESISTIDO
179,MIRAFLORES,2019,5,MR190081412,EVALUACIÓN - F,07/05/2019 12:35,13/06/2019 12:09,,,,DESISTIDO
180,MIRAFLORES,2019,5,MR190080665,EVALUACIÓN - F,06/05/2019 14:52,13/06/2019 9:51,,,,DESISTIDO
181,MIRAFLORES,2019,5,MR190079291,EVALUACIÓN - F,03/05/2019 15:24,12/06/2019 16:26,,,,DESISTIDO
182,MIRAFLORES,2019,4,MR190074216,EVALUACIÓN - F,25/04/2019 16:42,08/08/2019 11:25,,,,DESISTIDO
183,MIRAFLORES,2019,4,MR190068508,EVALUACIÓN - F,16/04/2019 9:12,23/07/2019 15:34,,,,DESISTIDO
